nom,structure_porteuse,description,type_lieu,statut,nature_juridique,siret,adresse_brut,adresse_numero,adresse_rue,adresse_code_postal,adresse_code_insee,adresse_commune,adresse_departement,adresse_region,latitude,longitude,itinerant,en_ligne,contact_telephone,contact_telephone_details,contact_email,contact_web,contact_facebook,horaires_ouverture_brut,horaires_ouverture_osm,public_cible,modalites_acces,modalites_accompagnement,tarifs,accessibilite,services,labels
Valserhône,,,,,,,5-9 Rue des Papetiers Bellegarde sur Valserine 01200 Valserhône,9,Rue des Papetiers,01200,01033,Valserhône,Ain,Auvergne-Rhône-Alpes,46.105747,5.825644,,Non,0450568749,,franceservices@ccpb01.fr,,,9:00 - 12:00 / 13:30 - 17:00; 9:00 - 12:00 / 13:30 - 17:00; 9:00 - 12:00 / 13:30 - 17:00; 9:00 - 12:00 / 13:30 - 17:00; 9:00 - 12:00 / 13:30 - 17:00; -,"Mo 09:00-12:00,13:30-17:00; Tu 09:00-12:00,13:30-17:00; We 09:00-12:00,13:30-17:00; Th 09:00-12:00,13:30-17:00; Fr 09:00-12:00,13:30-17:00",,,,,,,France Services
Réquista « Le Bercail »,,,,,,,7 avenue Vallée du Tarn 12170 Réquista,7,Avenue de la Vallée du Tarn,12170,12197,Réquista,Aveyron,Occitanie,44.031548,2.535661,,Non,0565436864,,lebercail@requistanais.com,,,10:00 - 13:00 / Après-midi sur RDV; 10:00 - 13:00 / Après-midi sur RDV; 10:00 - 13:00 / Après-midi sur RDV; 10:00 - 13:00 / Après-midi sur RDV; 10:00 - 13:00 / Après-midi sur RDV; 10:00 - 13:00,,,,,,,,France Services
Conques-Marcillac,,,,,,,28 avenue Gustave Bessière 12330 Marcillac-Vallon,28,Avenue Gustave Bessiere,12330,12138,Marcillac-Vallon,Aveyron,Occitanie,44.477046,2.45495,,Non,0565713436,,franceservices@cc-conques-marcillac.fr,,,13:30 - 17:30; 9:00 - 12:30 / 13:30 - 17:30; 9:00 - 12:30 / 13:30 - 17:30; 9:00 - 12:30 / 13:30 - 17:30; 9:00 - 12:30 / 13:30 - 17:30; -,"Mo 13:30-17:30; Tu 09:00-12:30,13:30-17:30; We 09:00-12:30,13:30-17:30; Th 09:00-12:30,13:30-17:30; Fr 09:00-12:30,13:30-17:30",,,,,,,France Services
Terre d’Auge,,,,,,,9 rue de l 'hippodrome 14130 Pont-l'Évêque,9,Rue de l'Hippodrome,14130,14514,Pont-l'Évêque,Calvados,Normandie,49.2914,0.197488,,Non,0252569834,,dgs@terredauge.fr,,,9:00 - 12:30 / 13:30 - 17:00; 9:00 - 12:30; 9:00 - 12:30 / 13:30 - 17:00; 9:00 - 12:30 / Sur RDV; 9:00 - 12:30 / 13:30 - 17:00; -,,,,,,,,France Services
Val ès Dunes,,,,,,,10 rue Léonard Gille 14370 Bellengreville,,Rue Léonard Gille,14370,14057,Bellengreville,Calvados,Normandie,49.126169,-0.21511,,Non,0231236808,,msap@valesdunes.fr,,,8:30 - 12:30 / 13:30 - 16:30; 8:30 - 12:30 / 13:30 - 16:30; 8:30 - 12:30 / 13:30 - 16:30; 8:30 - 12:30 / 13:30 - 16:30; 8:30 - 12:30 / 13:30 - 16:30; -,"Mo 08:30-12:30,13:30-16:30; Tu 08:30-12:30,13:30-16:30; We 08:30-12:30,13:30-16:30; Th 08:30-12:30,13:30-16:30; Fr 08:30-12:30,13:30-16:30",,,,,,,France Services
Hotel Numérique de Montsalvy,,,,,,,25 Rue du Tour de Ville 15120 Montsalvy,25,Rue du Tour de Ville,15120,15134,Montsalvy,Cantal,Auvergne-Rhône-Alpes,44.708142,2.500459,,Non,0471496437,,msp.montsalvy@chataigneraie15.fr,,,8:30 - 12:30 / 13:30 - 17:00; 8:30 - 12:30 / 13:30 - 17:00; 8:30 - 12:30 / 13:30 - 17:00; 8:30 - 12:30 / 13:30 - 17:00; 8:30 - 12:30; -,"Mo 08:30-12:30,13:30-17:00; Tu 08:30-12:30,13:30-17:00; We 08:30-12:30,13:30-17:00; Th 08:30-12:30,13:30-17:00; Fr 08:30-12:30",,,,,,,France Services
Montmoreau,,,,,,,35 avenue d'aquitaine 16190 Montmoreau,35,Avenue de l'Aquitaine,16190,16230,Montmoreau,Charente,Nouvelle-Aquitaine,45.396117,0.130144,,Non,0545240879,,d.sakton@ccltd.fr,,,9:15 - 12:15 / 14:00 - 16:00; 9:15 - 12:00 / 14:00 - 17:00; 9:00 - 12:00; 9:00 - 12:00 / 14:00 - 16:00; 9:00 - 12:00 / 14:00 - 16:00; -,"Mo 09:15-12:15,14:00-16:00; Tu 09:15-12:00,14:00-17:00; We 09:00-12:00; Th 09:00-12:00,14:00-16:00; Fr 09:00-12:00,14:00-16:00",,,,,,,France Services
Saint-Séverin,,,,,,,"16, Rue du Périgord 16390 Saint-Séverin",16,Rue du Perigord,16390,16350,Saint-Séverin,Charente,Nouvelle-Aquitaine,45.312713,0.251499,,Non,0545981907,,s.favrais@ccltd.fr,,,9:15 - 12:00 / 13:30 - 16:00; 9:15 - 12:00 / 13:30 - 16:00; 9:00 - 12:00; 9:15 - 12:00 / 13:30 - 16:00; 9:15 - 12:00 / 13:30 - 16:00; -,"Mo 09:15-12:00,13:30-16:00; Tu 09:15-12:00,13:30-16:00; We 09:00-12:00; Th 09:15-12:00,13:30-16:00; Fr 09:15-12:00,13:30-16:00",,,,,,,France Services
La Maison Pop’,,,,,,,11 avenue de la gare 17130 Montendre,,Avenue de la Gare,17130,17240,Montendre,Charente-Maritime,Nouvelle-Aquitaine,45.282004,-0.396837,,Non,0546704367,,lam.montendre@wanadoo.fr,,,9:00 - 12:00 / 14:00 - 17:00; 14:00 - 17:00; 9:00 - 12:00 / 14:00 - 17:00; 9:00 - 12:00 / 14:00 - 17:00; 9:00 - 12:00 / 14:00 - 17:00; -,"Mo 09:00-12:00,14:00-17:00; Tu 14:00-17:00; We 09:00-12:00,14:00-17:00; Th 09:00-12:00,14:00-17:00; Fr 09:00-12:00,14:00-17:00",,,,,,,France Services
MIS Maison des Initiatives Marennes,,,,,,,22-24 Rue Dubois Meynardie 17320 Marennes-Hiers-Brouage,,Rue Dubois Meynardie,17320,17219,Marennes-Hiers-Brouage,Charente-Maritime,Nouvelle-Aquitaine,45.822826,-1.109971,,Non,0579860150,,accueil.mis@marennes-oleron.com,,,9:00 - 13:00 / 14:00 - 18:00; 08:45 - 12:30 / 14:00 - 17:30; 8:45 - 12:30 / 14:00 - 17:30; 8:45 - 12:30 / 14:00 - 17:30; 9:00 - 12:00 / 13:00 - 16:00; -,"Mo 09:00-13:00,14:00-18:00; Tu 08:45-12:30,14:00-17:30; We 08:45-12:30,14:00-17:30; Th 08:45-12:30,14:00-17:30; Fr 09:00-12:00,13:00-16:00",,,,,,,France Services
Saint-Jean-d’Angély,,,,,,,3 Rue de Dampierre 17400 Saint-Jean-d'Angély,3,Rue de Dampierre,17400,17347,Saint-Jean-d'Angély,Charente-Maritime,Nouvelle-Aquitaine,45.947368,-0.514339,,Non,0546591833,,cias@valsdesaintonge.fr,,,9:00 - 12:30 / 13:30 - 17:00; 9:00 - 12:30 / 13:30 - 17:00; 9:00 - 12:30 / 13:30 - 17:00; 9:00 - 12:30 / 13:30 - 17:00; 9:00 - 12:30 / 13:30 - 17:00; -,"Mo 09:00-12:30,13:30-17:00; Tu 09:00-12:30,13:30-17:00; We 09:00-12:30,13:30-17:00; Th 09:00-12:30,13:30-17:00; Fr 09:00-12:30,13:30-17:00",,,,,,,France Services
Tonnay-Charente - Fixe,,,,,,,76 rue Alsace Lorraine 17430 Tonnay-Charente,76,Rue Alsace Lorraine,17430,17449,Tonnay-Charente,Charente-Maritime,Nouvelle-Aquitaine,45.943801,-0.891534,,Non,0546828940,,cap.franceservices@gmail.com,,,8:30 - 12:30 / 13:30 - 17:30; 9:00 - 12:30 / 13:30 - 17:30; 13:30 - 17:00; 9:00 - 12:30 / 13:30 - 17:30; 9:00 - 12:30 / 13:30 - 17:00; -,"Mo 08:30-12:30,13:30-17:30; Tu 09:00-12:30,13:30-17:30; We 13:30-17:00; Th 09:00-12:30,13:30-17:30; Fr 09:00-12:30,13:30-17:00",,,,,,,France Services
Aubigny sur Nère,,,,,,,6 avenue du 8 mai 1945 18700 Aubigny-sur-Nère,6,Avenue du 8 Mai 1945,18700,18015,Aubigny-sur-Nère,Cher,Centre-Val de Loire,47.485101,2.434796,,Non,0248584402,,msap@aubigny-sur-nere.fr,,,9:30 - 12:00 / 13:30 - 16:30; 8:30 - 12:00 / 13:30 - 16:30; 9:30 - 12:00 / 13:30 - 16:30; 8:30 - 12:00 / 13:30 - 16:30; 8:30 - 12:00 / 13:30 - 16:30; -,"Mo 09:30-12:00,13:30-16:30; Tu 08:30-12:00,13:30-16:30; We 09:30-12:00,13:30-16:30; Th 08:30-12:00,13:30-16:30; Fr 08:30-12:00,13:30-16:30",,,,,,,France Services
Premiers Sapins,,,,,,,8 rue de la Scierie - Nods 25580 Les Premiers Sapins,8,Rue de la Scierie,25580,25424,Les Premiers Sapins,Doubs,Bourgogne-Franche-Comté,47.09857,6.336511,,Non,,,mairie.lps25@orange.fr,,,13:30 - 16:30; 13:30 - 16:30; 8:30 - 11:30; 13:30 - 18:00; 9:00 - 16:30; 8:30 - 11:30,Mo 13:30-16:30; Tu 13:30-16:30; We 08:30-11:30; Th 13:30-18:00; Fr 09:00-16:30; Sa 08:30-11:30,,,,,,,France Services
