ID;STRUCTURE PORTEUSE;NATURE JURIDIQUE;NOM DU LIEUX;ADRESSE;CODE POSTAL;VILLE;LATITUDE;LONGITUDE;TYPE DE LIEU;ACTIVITES PROPOSEES;HORAIRES;MATERIELS DISPONIBLES;AUTRES LABELS;URL FACEBOOK;URL TWITTER;URL YOUTUBE;PLUS D'INFORMATION;LOGO
1;COMMUNE DE DIGNE-LES-BAINS;COLLECTIVITE;LUMEN;Centre culturel René-Char, 45 avenue du 8 mai 1945;4000;DIGNE-LES-BAINS;;;LIEU DE MEDIATION NUMERIQUE;"Accés internet; ateliers numériques";"Lundi 14h-18h; mardi au vendredi 9h-12h/14h-17h";"Ordinateurs PC ;imprimante; appareils photos; ordinateurs portables; tablettes tactiles";;https://fr-fr.facebook.com/lumenespacenumerique;;;https://www.lumen.dignelesbains.fr/;https://i.goopics.net/Xv8Pj.png
2;PROVENCE ALPES AGGLOMERATION;EPCI;MEDIATHEQUE FRANCOIS MITTERAND;7 rue Colonel Payan;4000;DIGNE-LES-BAINS;;;"MEDIATHEQUE; LIEU DE MEDIATION NUMERIQUE";"Ateliers numériques pour les adultes; découverte de tablettes et applications; atelier de découverte des logiciels libres;makey makey; cartographie libre et participative";"Mardi 13h-19h; mercredi 10h-18h; jeudi 13h-18h; vendredi 13h18h; samedi 10h-17h";Ordinateurs, tablettes, vidéoprojecteur, imprimante, scanner;;https://fr-fr.facebook.com/MediathequeDigne/;;;"http://www.mediatheque-digne.fr
 
";https://i.goopics.net/rKAK7.png
3;INITIATIVE ALPES DE HAUTES PROVENCE;ASSOCIATION;DINIAPOLIS;1 boulevard Victor;4000;DIGNE-LES-BAINS;;;FABRIQUE A ENTREPRENDRE A VOCATION NUMERIQUE;Offre de service numérique aux porteurs de projets et aux entreprises du territoire.;Lundi au vendredi 9h-12h/14h-17h;"Salle de visio-conférence; écrans, studio photo et vidéo";;https://www.facebook.com/initiativehauteprovence/;https://twitter.com/InitiativeAHP;https://www.youtube.com/channel/UCl4237fqcOA3RVg1zX6NWww;http://www.initiative-alpesdehauteprovence.com/;https://i.goopics.net/x5WJ2.png
4;INITIATIVE ALPES DE HAUTES PROVENCE;ASSOCIATION;INITIATIVE ALPES DE HAUTES PROVENCE;55 avenue du 1er mai;4100;MANOSQUE;;;LIEU DE MEDIATION NUMERIQUE;Offre de service numérique aux porteurs de projets et aux entreprises du territoire.;Lundi au vendredi 9h-12h/14h-17h;"Salle de visio-conférence; écrans, studio photo et vidéo";;https://www.facebook.com/initiativehauteprovence/;https://twitter.com/InitiativeAHP;https://www.youtube.com/channel/UCl4237fqcOA3RVg1zX6NWww;http://www.initiative-alpesdehauteprovence.com/;https://i.goopics.net/x5WJ2.png
5;LES PETITS DEBROUILLARDS PROVENCE-ALPES-CÔTE D'AZUR;ASSOCIATION;D'CLIC LAB;10 rue Arthur Robert;4100;MANOSQUE;;;"FABLAB; LIEU DE MEDIATION NUMERIQUE; ESPACE DE FORMATION";"Ateliers sensibilisation; atelier usages avancés; fabrication Numérique; formation professionnelle; événementiel";"Sur rendez-vous (accès libre pour les adhérents) : lundi, mardi, jeudi, vendredi 9h-18h, mercredi 9h-12h; Accès libre : mardi, jeudi 18h-21h, mercredi 12h-18h; samedi sur demande.";Postes informatiques fixes et portables, tablettes, imprimante 3D, scanner 3D, découpeuse Laser;;www.facebook.com/lespetitsdebrouillards04/;;;http://www.dcliclab.fr/;https://i.goopics.net/rKDb7.png
6;COMMUNAUTE DE COMMUNES SISTERONNAIS BUECH;EPCI;MSAP DU SISTERONAIS;22 avenurs des arcades;4200;SISTERON;;;LIEU DE MEDIATION NUMERIQUE;Accompagnement dans la réalisation de démarches administratives en ligne (carte grise, permis, inscription Pôle Emploi…);Lundi au vendredi 9h-12h/14h-17h;Borne visio entretien;Maison de Services Au Public (MSAP);https://www.facebook.com/CCSisteronaisBuech/;https://www.facebook.com/CCSisteronaisBuech/;;https://www.sisteronais-buech.fr;https://i.goopics.net/qvDJd.png
7;COMMUNAUTE DE COMMUNES SISTERONNAIS BUECH;EPCI;MSAP LA MOTTE DU CAIRE;Maison de Pays;4250;LA MOTTE DU CAIRE;;;LIEU DE MEDIATION NUMERIQUE;Ateliers de sensibilisation à la culture numérique, aux démarches administratives, accompagnement individualisé pour la recherche d'emploi et les démarches administratives;"Lundi au jeudi 9h-12h/14h-16h30; vendredi 9h-12h";Postes informatiques  en accés libre, imprimante scanner ;Maison de Services Au Public (MSAP);https://www.facebook.com/CCSisteronaisBuech/;https://www.facebook.com/CCSisteronaisBuech/;;https://www.sisteronais-buech.fr;https://i.goopics.net/qvDJd.png
8;COMMUNAUTE DE COMMUNES PAYS DE FORCALQUIER-MONTAGNE DE LURE;EPCI;MSAP DE FORCALQUIER ;4 avenue de l'observatoire;4300;FOCALQUIER;;;LIEU DE MEDIATION NUMERIQUE;Accompagnement aux démarches administratives en ligne, aide à l'utilisation des services et des outils numériques;"Lundi 9h-12h; mardi au vendredi 9h-12h/14h-17h30";Postes informatiques;"Maison de Services Au Public (MSAP);";https://www.facebook.com/CCPFML/;;;http://www.forcalquier-lure.com/fr/accueil.html;https://i.goopics.net/G8YQp.png
9;COMMUNE DE BARCELONNETTE;COLLECTIVITE;MEDIATHEQUE DE BARCELONNETTE;Place Pierre-Gilles de Gennes;4400;BARCELONNETTE;;;"MEDIATHEQUE; LIEU DE MEDIATION NUMERIQUE";Ateliers d'accompagnements aux public à utiliser les outils numériques et le web;"Lundi, mardi,vendredi 15h-18h; mercredi, samedi 10h-12h30/15h-18h";Ordinateurs, tablettes, accès internet et wifi;;https://www.facebook.com/mediabarcelo;;;www.mediatheques-ubaye.net;https://i.goopics.net/OKeZK.jpg
10;UNIVERSITE DU TEMPS LIBRE DU PAYS GAPENCAIS;ASSOCIATION;UNIVERSITE DU TEMPS LIBRE DU PAYS GAPENCAIS;rue Bayard;5000;GAP;44.5620824;6.0765165;LIEU DE MEDIATION NUMERIQUE;Cours informatiques et Internet (initiation informatique et Internet, identité numérique et bon usage des réseaux sociaux, stratégie de communication Web 2 pour les pros, écritures journalistiques sur blog, etc.);Lundi au vendredi 9h-12h/14h-18h;Ordinateurs fixes, connexion Internet, ordinateurs portables, vidéo-projecteurs, matériel visio-conférence, matériel audio;Espace Public Numérique (EPN);https://www.facebook.com/UTLGap/;https://twitter.com/UTL_Gap;https://www.youtube.com/channel/UCdwSYtHuuzXUFn5xk3hBC5g;https://www.utlgap.org;https://i.goopics.net/Vv2x1.png
11;FAB'ALPES;ASSOCIATION;FAB'ALPES;5 rue Léon Olphe-Gaillard;5000;GAP;;;FABLAB;Ateliers fabrication numérique, Do It Yourself (DIY), sensibilisation et formations aux machines, aux logiciels et aux contenus sous licences libres, à la réduction, la réutilisation et le recyclage des déchets (Repair cafés), facilitation de l’innovation locale grâce au prototypage rapide;"Mardi 9h-12h/14h-21h ; mercredi,jeudi,vendredi 9h-12h/14h-18h; samedi 9h-12h";Imprimante 3D, découpeuse Laser, découpeuse vinyle, matériel électronique, presse à Chaud, machine à Coudre, brodeuse numérique, machine à badges;;https://fr-fr.facebook.com/fabalpes/;https://twitter.com/fabalpes;;http://www.fabalpes.org/;https://i.goopics.net/0WYo9.png
12;AFPA ACCES A L'EMPLOI;SASU ;CENTRE AFPA DE GAP ;Rue des lauriers;5000;GAP;;;LIEU DE MEDIATION NUMERIQUE;Mise à disposition d'espaces de travail et de rencontres, ateliers numériques pour les entreprises,leurs salariés et demandeurs d'emplois;"Tous les premiers jeudi du mois; 9h-12h : AGORA SPACE (médiation numérique) ; 14h-18h / REPAR ACTION (repair café)";Outils et machines présents sur site;;;;;https://www.afpa.fr/directionregionale/direction-regionale-de-paca;https://i.goopics.net/aODWZ.png
13;COMMUNAUTE DE COMMUNES DU PAYS DES ECRINS;EPCI;CENTRE SOCIOCULTUREL DES ECRINS;ZA Les Sablonnières;5120;L'ARGENTIERE-LA-BESSEE;;;LIEU DE MEDIATION NUMERIQUE;Accueil de Loisirs, animations socioculturel, accompagnement scolaire;"Mardi 16h45-19h30; mercredi et samedi 14h-18h; jeudi 16h45-19h; vendredi 14h-19h";Ordinateurs;;;;;http://www.cc-paysdesecrins.com/;https://i.goopics.net/dRDlL.png
14;COMMUNAUTE DE COMMUNES DU PAYS DES ECRINS;EPCI;MSAP DU PAYS DES ECRINS;12 avenue de Vallouise;5120;L'ARGENTIERE-LA-BESSEE;;;LIEU DE MEDIATION NUMERIQUE;Accompagnement des publics dans les démarches administratives et notamment en ligne, ateliers numériques de sensibilisation;"Lundi 9h-12h/14h-18h30; mercredi au vendredi 9h-12h/14h-17h30";Ordinateurs,tablettes,photocopieuse couleur et scanner;Maison de Service Au Public (MSAP);;;;http://www.cc-paysdesecrins.com/;https://i.goopics.net/dRDlL.png
15;COMMUNAUTE DE COMMUNES DU PAYS DES ECRINS;EPCI;LUCEO;Parc du Château, RN 94;5130;LA ROCHE DE RAME;44.748921;6.578881;LIEU DE MEDIATION NUMERIQUE;Bar camp numérique, centre de ressources numériques, ateliers numériques;"Lundi au jeudi 9h-12h/14h-17h; vendredi 9h-12h/14h-16h; animations occasionnelles en soirée";Ordinateurs;;https://www.facebook.com/pole.luceo/;https://twitter.com/pole_luceo;;ttp://www.pole-luceo.com;https://i.goopics.net/pQDlk.png
16;COMMUNAUTE DE COMMUNES SISTERONNAIS BUECH;EPCI;MSAP DE VALDOULE;Espace Rural / Centre de Ressources Numériques - ancienne école communale;5150;MONTMORIN;44.4508;5.5409;"ESPACE DE COWORKING; LIEU DE MEDIATION NUMERIQUE";Ateliers de sensibilisation à la culture numérique, aux démarches administratives, accompagnement individualisé pour la recherche d'emploi et les démarches administratives, coworking;"Lundi,mardi,jeudi,vendredi 9h-12h ; mercredi 9h-12h/14h-16h";Postes informatiques  en accés libre, imprimante scanner, 1 poste équipé en visio;Maison de Services Au Public (MSAP);https://www.facebook.com/CCSisteronaisBuech/;https://www.facebook.com/CCSisteronaisBuech/;;https://www.sisteronais-buech.fr;https://i.goopics.net/qvDJd.png
17;AVENTIC;ASSOCIATION;L'ALIM;Maison des énergies, avenue Aristide BRIAND;5150;ROSANS;;;"ESPACE DE COWORKING; LIEU DE MEDIATION NUMERIQUE";Ateliers numériques pour le jeune public, ateliers collectifs de sensibilisation et de perfectionnement aux usages numériques pour tout public, professionnels, demandeurs d’emploi , événements (café discut’, jeu de piste numérique);Lundi et jeudi 9h30-12h30/14h-17h;Bureaux,coin cuisine équipé, ordinateurs fixe et portables, tablettes, imprimante multifonction;;;;;http://www.aventic.org;https://i.goopics.net/qvDrk.png
18;COMMUNAUTE DE COMMUNES BUECH-DEVOLUY;EPCI;MSAP DU DEVOLUY;Le Pré - Saint Etienne en Devoluy;5250;LE DEVOLUY;;;LIEU DE MEDIATION NUMERIQUE;Accompagnement dans la réalisation de démarches administratives en ligne;"Lundi au vendredi 9h-12h/14h-18h; samedi 9h-12h";Ordinateurs en réseaux, imprimantes;Maison de Service Au Public (MSAP);;;;http://www.ccbuechdevoluy.fr/;https://i.goopics.net/G8Yba.png
