Dernière MAJ;Lieu;Type Structure;Commune;Adresse postale;Email;Description;Libellé 1;Libellé 2;Proposition de permanence;Présence d'un médiateur;Site internet;Téléphone;Coord. X;Coord. Y;Pôle territorial;Intercommunalité;services;equipements
18/11/2019;ACIFOP;Association;Libourne;7 Bis rue Max Linder - 33500 LIBOURNE;accueil@formation-lac.com;Centre de formation professionnelle, l’ACIFOP propose notamment, dans le cadre de parcours de formation individualisés, des formations en bureautique (Word, Excel, Powerpoint, Outlook, Facebook, validation TOSA …) qui peuvent pour certaines être prises en charge dans le cadre du plan de formation de l’entreprise ou du CPF (Compte Personnel de Formation).;ACIFOP;;Non;Non;http://www.acifop.com/;05 57 25 40 40;44,93815;-0,235791;Libournais;CA du Libournais;Etre initié aux outils numériques;Ordinateur
07/11/2019;Action jeunes;Collectivité;Carbon-Blanc;Avenue André Vignau Anglade - 33560 CARBON BLANC;action-jeunes@carbon-blanc.fr;;Action jeunes;;Non;Oui;https://www.facebook.com/mptactionjeunes;05 57 77 68 84;44,8954283;-0,5077425;Hauts de Garonne;Bordeaux Métropole;Accès à Internet en autonomie / Etre initié aux outils numériques;Accès Internet / Ordinateur
26/11/2019;ADELE - Service Emploi de Bègles;Association;Bègles;Rue Robert Schuman;;"Association pour le Développement Local et l’Emploi, assure une mission d’accompagnement vers l’Emploi durable de publics rencontrant des difficultés d’accès à l’emploi par la gestion de trois dispositifs :

    Le P.L.I.E. des Graves
    Le Service Emploi
    Le BT Emploi

A.DE.L.E. mobilise de nombreux Partenaires : Services Actions économiques des collectivités, Clubs d’entreprises des territoires, partenaires sociaux et institutionnels avec lesquels elle s’engage sur la lutte contre les discriminations, la promotion de la diversité et de l’égalité Hommes/Femmes.";ADELE - Service Emploi de Bègles;;Non;Non;;0556496275;44,8127;-0,550899999999956;Graves;Bordeaux Métropole;Etre accompagné dans ses démarches administratives;Ordinateur
15/05/2019;Agence Multi Sociale Agricole (MSA);MSA;Libourne;9 Avenue du Général de Gaulle 33500 Libourne;@;"La MSA gère l'ensemble de la protection sociale de la profession agricole (exploitants, employeurs, salariés, retraités, ainsi que leurs familles)

Fermé le 3ème mardi de chaque mois
Accès PMR
Libre d'accès, gratuit, pour tous les allocataires MSA";Agence Multi Sociale Agricole (MSA) - Libourne;;Non;Non;http://www.msa33.fr;05 56 01 83 83;44,9078801;-0,2318966;Libournais;CA du Libournais;Accès à Internet en autonomie / Etre accompagné dans ses démarches administratives;Accès Internet / Imprimante
20/01/2020;ALTER EGAUX;Autre;Bègles;12 rue du Maréchal Joffre 33130 Bègles;cyrille.alteregaux@orange.fr;"ALTER EGAUX est une micro-entreprise créée en Avril 2018, qui réalise des prestations d’accompagnement administratif et juridique pour les particuliers, les associations et les petites entreprises. L’éventail des interventions est extrêmement large (aide au courrier, accompagnement aux démarches numérisées sites CAF, MDSI, CCAS, MDPH, CESU, Pole Emploi, CPAM, MSA, etc), rédaction/modification de statuts associatifs, élaboration de dossiers de demandes de subvention pour des associations, formalités administratives de création/radiation SCI, accompagnement à la résolution amiable de litiges de la vie quotidienne et suivi de l’application des décisions afférentes), et caetera.
Nous sommes également dans une démarche de demande d’agrément « Formateur » auprès de la DIRECCTE car nous souhaitons accompagner les entreprises, collectivités et association dans leur gestion des risques juridiques et la conduite de démarches inclusives, en soutien aux politiques publiques de lutte contre les discriminations.";ALTER EGAUX;;Non;Oui;www.alteregaux33.fr;0557042471;44,8065;-0,549418;Graves;Bordeaux Métropole;;Accès Internet / Ordinateur / Scanner / Wifi
26/11/2019;Amicale Laïque La Glacière maison de quartier;Association;Mérignac;56, rue Armand Gayral - 33700 MERIGNAC;alg-merignac@wanadoo.fr;L'Amicale Laïque est une association loi 1901, reconnue d'utilité publique, affiliée à la Ligue de l'Enseignement 33. Elle propose à ses adhérents de nombreuses activités socioculturelles et sportives. L'Amicale organise aussi plusieurs animations pour le quartier (Art'expo début avril, Artisan'art fin novembre, concerts, spectacles et fêtes...) Ses objectifs sont de faire participer les habitants des quartiers situés à l'Est de Mérignac à la vie et à 'animation de leur quartier et d'amener les enfants et les adolescents à avoir une démarche citoyenne et responsable......;Amicale Laïque La Glacière;;Non;Non;http://www.algmerignac.fr/;05 56 96 62 65;44,836242;-0,619774;Porte du Médoc;Bordeaux Métropole;;
07/05/2019;APRODISC;Association;Saint-Caprais-de-Bordeaux;4 avenue de Mercade - 33880 ST CAPRAIS DE BORDEAUX;aprodisc@wanadoo.fr;;APRODISC;;Non;Oui;http://www.aprodisc.org/;05 57 97 94 24;44,750627;-0,436653;Hauts de Garonne;CC des Portes de l'Entre-Deux-Mers;Accès à Internet en autonomie / Etre accompagné dans ses démarches administratives / Etre initié aux outils numériques;Accès Internet / Imprimante / Ordinateur / Vidéo-projecteur
02/12/2019;Arrpej association Les Cygnes de vie;Association;Castillon-la-Bataille;22 Rue Emile Combes - 33350 CASTILLON LA BATAILLE;arrpej@wanadoo.fr;"Tu as besoin de parler ?
Tu cherches des infos sur ta santé et tes droits
Trouve un lieu proche de chez toi";Arrpej association Les Cygnes de vie;;Non;Non;http://www.cygnesdevie.fr/Les_cygnes_de_vie/ARRPEJ.html;05 57 40 15 65;44,8522393;-0,0448625;Libournais;CC Castillon/Pujols;;
25/11/2019;Arts et loisirs d'Arlac;Association;Mérignac;Avenue de la Chapelle Ste Bernadette;contact@artsetloisirsarlac.fr;"Centre socioculturel d' Arlac
Tout public - Adhésion à l'association obligatoire";Arts et loisirs d'Arlac;;Non;Oui;http://www.artsetloisirsarlac.fr;0556995533;44,8397312;-0,5922816;Porte du Médoc;Bordeaux Métropole;Accès à Internet en autonomie / Etre accompagné dans ses démarches administratives / Etre initié aux outils numériques / Pratiquer des activités récréatives numériques;Accès Internet / Imprimante / Ordinateur / Photocopieuse
28/11/2019;Association ALCIDE Centre socioculturel « Portraits de Familles »;Association;Saint-Denis-de-Pile;71 route de Paris 33910 SAINT DENIS DE PILE;portraitsdefamilles@orange.fr;"« Portraits de familles » est un centre socioculturel qui propose de nombreux services et de nombreuses activités pour tous : des sorties, le café des parents, le Réseau d’Echange Réciproque de Savoirs, le point relais CAF, les ateliers parents-enfants, la Ludothèque, l’atelier couture, les popotes, ….

Gratuit - adhésion au CSC demandé pour les ateliers 10€/an/famille)
Il peut être demandé une participation financière pour les impressions.
Accès libre, tout public
Page Facebook : PortraitsdefamillesCSC";Association ALCIDE Centre socio-culturel « Portraits de Familles »;;Non;Oui;;05 57 51 92 75;44,9874649;-0,2079181;Libournais;CA du Libournais;Accès à Internet en autonomie / Etre accompagné dans ses démarches administratives / Etre initié aux outils numériques;Accès Internet / Imprimante multi-fonctions / Ordinateur
