rh_id,n_ref,statut_infos,departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,adresse_full,geo_lat,geo_lon,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,horaires_semaine,date_maj,public_toutes_actions,conditions_acces_toutes_actions,type_mediation_1,public_si_different_1,conditions_acces_si_diff_1,presta_mediation_1,bloc_mediation_1,type_mediation_2,public_si_different_2,conditions_acces_si_diff_2,presta_mediation_2,bloc_mediation_2,type_mediation_3,public_si_different_3,conditions_acces_si_diff_3,presta_mediation_3,bloc_mediation_3,type_mediation_4,public_si_different_4,conditions_acces_si_diff_4,presta_mediation_4,bloc_mediation_4,type_mediation_5,public_si_different_5,conditions_acces_si_diff_5,presta_mediation_5,bloc_mediation_5,code_label,label_full,wifi,precisions,lat,lon,codes_types_mediations,codes_publics,codes_thematiques,code_departement
RH_fiche_1_,,,11,Alzonne,,FEP Médiathèque,,11170.0,,,11170 Alzonne,nan,,,,,,fep.alzonne@wanadoo.fr,,,,,,,,,,Decembre 2019 Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.264943,2.165457,,,,=11=
RH_fiche_2_,,,65,Ancizan,,Centre culturel d'Ancizan,,65440.0,,,65440 Ancizan,4336867.0,1 445 539,,,,,centreculturel-ancizan@wanadoo.fr,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.87272,0.340624,,,,=65=
RH_fiche_3_,,,65,Ancizan,,Centre Culturel,,65440.0,10 rue de l'Arbizon,,10 rue de l'Arbizon 65440 Ancizan,nan,,,,,05 62 39 92 29,commune.ancizan@orange.fr,,,,,,,,,,Decembre 2019,,,ORD,TP,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,ACCN,TP,possiblité cours individuel 1h prix entre 4€ et 6€. Préalablement appeler la mairie.,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : possiblité cours individuel 1h prix entre 4€ et 6€. Préalablement appeler la mairie.</li></ul></p>,,,,,,,,,,,,,,,,,,oui,,42.873053000000006,0.342376,ORD-ACCN,TP-TP,,=65=
RH_fiche_4_,,,31,Arbas,,Bibliothèque municipale,,31160.0,,,31160 Arbas,nan,,,,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.994112,0.9083129999999999,,,,=31=
RH_fiche_5_,,,65,Argeles Gazost,,SARAPP,,65400.0,,,65400 Argeles Gazost,4306833.0,151 224,,,,,65sararg@ac-toulouse.fr,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.005364,-0.09429,,,,=65=
RH_fiche_6_,,,65,Argeles Gazost,,Restos du Cœur,,65400.0,2 rue de l'Arrieulat,,2 rue de l'Arrieulat 65400 Argeles Gazost,nan,,Association,,,,,,,,,,,,,,2018,,,ORD,TP,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,,,,,,,,,,,,,,,,,,,,,,,non,,43.003161999999996,-0.103378,ORD,TP,,=65=
RH_fiche_7_,,,65,Argeles Gazost,,Maison Départementale de Solidarité,,65400.0,1 chemin de l'herbe,,1 chemin de l'herbe 65400 Argeles Gazost,nan,,,,,05 31 74 37 10,,,,,,,,,,,10 04 2019,,,,TP,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,,,,,,,,,,,,,,,,,,,,,,,non,,43.007203000000004,-0.092477,,TP,,=65=
RH_fiche_8_,,,65,Argeles Gazost,,Médiathèque Municipale,,65400.0,1 rue Jean Bourdette,,1 rue Jean Bourdette 65400 Argeles Gazost,nan,,,,,05 62 97 10 59,bibliotheque@mairie-argeles-gazost.com,,,,,,,,,,Janvier 2020,,,ORD,TP,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,,,,,,,,,,,,,,,,,,,,,,,non,,43.002749,-0.101873,ORD,TP,,=65=
RH_fiche_9_,,,65,Arreau,,Arreau,La Poste,65240.0,4 rue Saint-Exupéry,,4 rue Saint-Exupéry 65240 Arreau,nan,,,,La Poste,,,,,,,,,,,,15 04 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,42.906182,0.358829,,,,=65=
RH_fiche_10_,,,65,Arreau,,MSAP/Bureau de Poste,,65240.0,4 rue St Exupère,,4 rue St Exupère 65240 Arreau,nan,,,,,05 62 40 70 54,,,,,,,,,,,2018,,,ORD,TP,,,<p><ul><li> type de médiation : non renseigné</li><li> public :</li><li> infos : </li></ul></p>,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,30 min,,42.906182,0.358829,ORD,TP,,=65=
