nom,structure_porteuse,description,type_lieu,statut,nature_juridique,siret,adresse_brut,adresse_numero,adresse_rue,adresse_code_postal,adresse_code_insee,adresse_commune,adresse_departement,adresse_region,latitude,longitude,itinerant,en_ligne,contact_telephone,contact_telephone_details,contact_email,contact_web,contact_facebook,horaires_ouverture_brut,horaires_ouverture_osm,public_cible,modalites_acces,modalites_accompagnement,tarifs,accessibilite,services,labels
Centre Communal d'Action Sociale (CCAS) d'Amiens,,,"Commune (Ville, CCAS, Centre Culturel...)",,Groupement d'intérêt public (GIP),,10 rue Gresset 80000 Amiens,10,Rue Gresset,80000,80021,Amiens,Somme,Hauts-de-France,49.893902,2.29446,,Non,,,,,,,,,,,,,,
CAF Somme,,,"Organisme de sécurité sociale (CAF, CPAM, CARSAT, MSA...)",,,,9 Boulevard Maignan Larivière 80000 Amiens,9,Boulevard Maignan Lariviere,80000,80021,Amiens,Somme,Hauts-de-France,49.889667,2.293374,,Non,,,sabrina.rimbault@cafsomme.cnafmail.fr,https://www.caf.fr/,,Du lundi au vendredi : 09:00-12:00 et 14:00-16:30 / Samedi : 09:00-12:00,"Mo-Fr 09:00-12:00,14:00-16:30; Sa 09:00-12:00",Allocataires,,,,,,
Point d'accueil numérique - Sous-Préfecture de Béthune,,,,,Groupement d'intérêt public (GIP),,181 rue Gambetta 62400 Béthune,181,Rue Leon Gambetta,62400,62119,Béthune,Pas-de-Calais,Hauts-de-France,50.532877,2.637306,,Non,,,,http://www.pas-de-calais.gouv.fr/Actualites/Actualites/Les-points-d-accueil-numerique-a-la-prefecture-et-dans-les-sous-prefectures,,Du lundi au vendredi : 09:00-12:00 et 13:30-16:00,"Mo-Fr 09:00-12:00,13:30-16:00",Tout public,,,,,,
Point d'accueil numérique - Sous-Préfecture de Boulogne-sur-Mer,,,,,Groupement d'intérêt public (GIP),,131 Grand Rue 62321 Boulogne-sur-Mer,,Rue de Boulogne,62131,62848,Verquin,Pas-de-Calais,Hauts-de-France,50.514134,2.634351,,Non,,,,http://www.pas-de-calais.gouv.fr/Actualites/Actualites/Les-points-d-accueil-numerique-a-la-prefecture-et-dans-les-sous-prefectures,,Du lundi au vendredi : 08:00-11:30 et 13:30-16:00,"Mo-Fr 08:00-11:30,13:30-16:00",Tout public,,,,,,
Point d'accueil numérique - Sous-Préfecture de Calais,,,,,Groupement d'intérêt public (GIP),,9 Esplanade Jacques Vendroux 62107 Calais,9,Esplanade Jacques Vendroux,62100,62193,Calais,Pas-de-Calais,Hauts-de-France,50.956297,1.845627,,Non,,,,http://www.pas-de-calais.gouv.fr/Actualites/Actualites/Les-points-d-accueil-numerique-a-la-prefecture-et-dans-les-sous-prefectures,,Du lundi au vendredi : 08:45-11:45 et 13:30-15:45,"Mo-Fr 08:45-11:45,13:30-15:45",Tout public,,,,,,
Point d'accueil numérique - Sous-Préfecture de Lens,,,,,Groupement d'intérêt public (GIP),,25 rue du 11 novembre 62307 Lens,25,Rue du 11 Novembre,62300,62498,Lens,Pas-de-Calais,Hauts-de-France,50.431768,2.824627,,Non,,,,http://www.pas-de-calais.gouv.fr/Actualites/Actualites/Les-points-d-accueil-numerique-a-la-prefecture-et-dans-les-sous-prefectures,,Du lundi au vendredi : 08:30-11:45 et 13:30-16:30,"Mo-Fr 08:30-11:45,13:30-16:30",Tout public,,,,,,
Point d'accueil numérique - Sous-Préfecture de Montreuil-sur-Mer,,,,,Groupement d'intérêt public (GIP),,7-9-11 rue d'Hérambault 62170 Montreuil-sur-Mer,11,Rue d'Hérambault,62170,62588,Montreuil,Pas-de-Calais,Hauts-de-France,50.4633,1.761533,,Non,,,,http://www.pas-de-calais.gouv.fr/Actualites/Actualites/Les-points-d-accueil-numerique-a-la-prefecture-et-dans-les-sous-prefectures,,Du lundi au vendredi : 09:00-12:30 et 13:30-16:00,"Mo-Fr 09:00-12:30,13:30-16:00",Tout public,,,,,,
Point d'accueil numérique - Sous-Préfecture de Saint-Omer,,,,,Groupement d'intérêt public (GIP),,41 rue Saint Bertin 62504 Saint-Omer,41,Rue Saint Bertin,62500,62765,Saint-Omer,Pas-de-Calais,Hauts-de-France,50.748906,2.257917,,Non,,,,http://www.pas-de-calais.gouv.fr/Actualites/Actualites/Les-points-d-accueil-numerique-a-la-prefecture-et-dans-les-sous-prefectures,,Du lundi au vendredi : 09:00-12:00 et 14:00-16:00,"Mo-Fr 09:00-12:00,14:00-16:00",Tout public,,,,,,
"Ville de Fourmies/Le L@bo, coeur numérique",,,,,Groupement d'intérêt public (GIP),,Parking du Théâtre Jean Ferrat 59610 Fourmies,,Rue Jean-pierre Dupont,59610,59249,Fourmies,Nord,Hauts-de-France,50.015951,4.043938,,Non,0967160481,,le-labo@fourmies.fr,http://le-labo.fourmies.fr/,,Mardi : 09:30-22:00 / Du mercredi au samedi : 09:30-18:00,Tu 09:30-22:00; We-Sa 09:30-18:00,Tout public,,,,,,
Communauté d'Agglomération Maubeuge - Val de Sambre /Fablab de la Gare numérique,,,,,Groupement d'intérêt public (GIP),,Place de la Gare 59460 Jeumont,,Place de la Gare,59460,59324,Jeumont,Nord,Hauts-de-France,50.295887,4.087829,,Non,0327601639,,,http://www.mairie-jeumont.fr/site/2015/10/28/fablab/,,Lundi : 08:30-12:15 et 13:30-16:15 / Du mardi au vendredi : 08:30-12:15 et 13:30-17:00 / Samedi : 09:00-12:00,"Mo 08:30-12:15,13:30-16:15; Tu-Fr 08:30-12:15,13:30-17:00; Sa 09:00-12:00",Tout public,,,,,,
