nom,structure_porteuse,description,type_lieu,statut,nature_juridique,siret,adresse_brut,adresse_numero,adresse_rue,adresse_code_postal,adresse_code_insee,adresse_commune,adresse_departement,adresse_region,latitude,longitude,itinerant,en_ligne,contact_telephone,contact_telephone_details,contact_email,contact_web,contact_facebook,horaires_ouverture_brut,horaires_ouverture_osm,public_cible,modalites_acces,modalites_accompagnement,tarifs,accessibilite,services,labels
LUMEN,COMMUNE DE DIGNE-LES-BAINS,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Collectivité locale ou territoriale,,"Centre culturel René-Char, 45 avenue du 8 mai 1945 4000 DIGNE-LES-BAINS",45,Avenue du 8 Mai 1945,04000,04070,Digne-les-Bains,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,44.089715,6.239647,,Non,,,,https://www.lumen.dignelesbains.fr/,https://fr-fr.facebook.com/lumenespacenumerique,Lundi 14h-18h; mardi au vendredi 9h-12h/14h-17h,,,,,,,,
MEDIATHEQUE FRANCOIS MITTERAND,PROVENCE ALPES AGGLOMERATION,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Établissement public de coopération intercommunale (EPCI),,7 rue Colonel Payan 4000 DIGNE-LES-BAINS,7,Rue Colonel Payan,04000,04070,Digne-les-Bains,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,44.091687,6.234144,,Non,,,,"http://www.mediatheque-digne.fr
 
",https://fr-fr.facebook.com/MediathequeDigne/,Mardi 13h-19h; mercredi 10h-18h; jeudi 13h-18h; vendredi 13h18h; samedi 10h-17h,,,,,,,,
DINIAPOLIS,INITIATIVE ALPES DE HAUTES PROVENCE,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Association,,1 boulevard Victor 4000 DIGNE-LES-BAINS,1,Boulevard Victor Hugo,04000,04070,Digne-les-Bains,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,44.093755,6.236355,,Non,,,,http://www.initiative-alpesdehauteprovence.com/,https://www.facebook.com/initiativehauteprovence/,Lundi au vendredi 9h-12h/14h-17h,"Mo-Fr 09:00-12:00,14:00-17:00",,,,,,,
INITIATIVE ALPES DE HAUTES PROVENCE,INITIATIVE ALPES DE HAUTES PROVENCE,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Association,,55 avenue du 1er mai 4100 MANOSQUE,55,Avenue du 1er Mai,04100,04112,Manosque,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,43.822159,5.796757,,Non,,,,http://www.initiative-alpesdehauteprovence.com/,https://www.facebook.com/initiativehauteprovence/,Lundi au vendredi 9h-12h/14h-17h,"Mo-Fr 09:00-12:00,14:00-17:00",,,,,,,
D'CLIC LAB,LES PETITS DEBROUILLARDS PROVENCE-ALPES-CÔTE D'AZUR,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Association,,10 rue Arthur Robert 4100 MANOSQUE,10,Rue Arthur Robert,04100,04112,Manosque,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,43.833071,5.782624,,Non,,,,http://www.dcliclab.fr/,www.facebook.com/lespetitsdebrouillards04/,"Sur rendez-vous (accès libre pour les adhérents) : lundi, mardi, jeudi, vendredi 9h-18h, mercredi 9h-12h; Accès libre : mardi, jeudi 18h-21h, mercredi 12h-18h; samedi sur demande.",,,,,,,,
MSAP DU SISTERONAIS,COMMUNAUTE DE COMMUNES SISTERONNAIS BUECH,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Établissement public de coopération intercommunale (EPCI),,22 avenurs des arcades 4200 SISTERON,22,Avenue des Arcades,04200,04209,Sisteron,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,44.194196,5.942453,,Non,,,,https://www.sisteronais-buech.fr,https://www.facebook.com/CCSisteronaisBuech/,Lundi au vendredi 9h-12h/14h-17h,"Mo-Fr 09:00-12:00,14:00-17:00",,,,,,,
MSAP LA MOTTE DU CAIRE,COMMUNAUTE DE COMMUNES SISTERONNAIS BUECH,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Établissement public de coopération intercommunale (EPCI),,Maison de Pays 4250 LA MOTTE DU CAIRE,,La Motte-du-Caire,04250,04134,La Motte-du-Caire,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,44.342367,6.028517,,Non,,,,https://www.sisteronais-buech.fr,https://www.facebook.com/CCSisteronaisBuech/,Lundi au jeudi 9h-12h/14h-16h30; vendredi 9h-12h,,,,,,,,
MSAP DE FORCALQUIER ,COMMUNAUTE DE COMMUNES PAYS DE FORCALQUIER-MONTAGNE DE LURE,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Établissement public de coopération intercommunale (EPCI),,4 avenue de l'observatoire 4300 FOCALQUIER,4,Avenue de l'Observatoire,04300,04088,Forcalquier,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,43.958374,5.776292,,Non,,,,http://www.forcalquier-lure.com/fr/accueil.html,https://www.facebook.com/CCPFML/,Lundi 9h-12h; mardi au vendredi 9h-12h/14h-17h30,,,,,,,,
MEDIATHEQUE DE BARCELONNETTE,COMMUNE DE BARCELONNETTE,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Collectivité locale ou territoriale,,Place Pierre-Gilles de Gennes 4400 BARCELONNETTE,,Place Pierre Gilles de Gennes,14550,14076,Blainville-sur-Orne,Calvados,Normandie,49.228293,-0.308143,,Non,,,,www.mediatheques-ubaye.net,https://www.facebook.com/mediabarcelo,"Lundi, mardi,vendredi 15h-18h; mercredi, samedi 10h-12h30/15h-18h",,,,,,,,
UNIVERSITE DU TEMPS LIBRE DU PAYS GAPENCAIS,UNIVERSITE DU TEMPS LIBRE DU PAYS GAPENCAIS,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Association,,rue Bayard 5000 GAP,,Rue Bayard,05000,05061,Gap,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.562064,6.08,,Non,,,,https://www.utlgap.org,https://www.facebook.com/UTLGap/,Lundi au vendredi 9h-12h/14h-18h,"Mo-Fr 09:00-12:00,14:00-18:00",,,,,,,
FAB'ALPES,FAB'ALPES,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Association,,5 rue Léon Olphe-Gaillard 5000 GAP,5,Rue Leon Olphe Gaillard,05000,05061,Gap,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.559416,6.076099,,Non,,,,http://www.fabalpes.org/,https://fr-fr.facebook.com/fabalpes/,"Mardi 9h-12h/14h-21h ; mercredi,jeudi,vendredi 9h-12h/14h-18h; samedi 9h-12h",,,,,,,,
CENTRE AFPA DE GAP ,AFPA ACCES A L'EMPLOI,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Société par actions simplifiée unipersonnelle (SASU),,Rue des lauriers 5000 GAP,,Rue des Lauriers (Gap),05000,05061,Gap,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.544918,6.055679,,Non,,,,https://www.afpa.fr/directionregionale/direction-regionale-de-paca,,Tous les premiers jeudi du mois; 9h-12h : AGORA SPACE (médiation numérique) ; 14h-18h / REPAR ACTION (repair café),,,,,,,,
CENTRE SOCIOCULTUREL DES ECRINS,COMMUNAUTE DE COMMUNES DU PAYS DES ECRINS,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Établissement public de coopération intercommunale (EPCI),,ZA Les Sablonnières 5120 L'ARGENTIERE-LA-BESSEE,,Zone Artisanale les Sablonnieres,05120,05006,L'Argentière-la-Bessée,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.788976,6.557812,,Non,,,,http://www.cc-paysdesecrins.com/,,Mardi 16h45-19h30; mercredi et samedi 14h-18h; jeudi 16h45-19h; vendredi 14h-19h,,,,,,,,
MSAP DU PAYS DES ECRINS,COMMUNAUTE DE COMMUNES DU PAYS DES ECRINS,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Établissement public de coopération intercommunale (EPCI),,12 avenue de Vallouise 5120 L'ARGENTIERE-LA-BESSEE,12,Avenue de Vallouise,05120,05006,L'Argentière-la-Bessée,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.795575,6.559235,,Non,,,,http://www.cc-paysdesecrins.com/,,Lundi 9h-12h/14h-18h30; mercredi au vendredi 9h-12h/14h-17h30,,,,,,,,
LUCEO,COMMUNAUTE DE COMMUNES DU PAYS DES ECRINS,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Établissement public de coopération intercommunale (EPCI),,"Parc du Château, RN 94 5130 LA ROCHE DE RAME",,,,,,,,,,,Non,,,,ttp://www.pole-luceo.com,https://www.facebook.com/pole.luceo/,Lundi au jeudi 9h-12h/14h-17h; vendredi 9h-12h/14h-16h; animations occasionnelles en soirée,,,,,,,,
MSAP DE VALDOULE,COMMUNAUTE DE COMMUNES SISTERONNAIS BUECH,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Établissement public de coopération intercommunale (EPCI),,Espace Rural / Centre de Ressources Numériques - ancienne école communale 5150 MONTMORIN,,Rue de l'Ancienne École,63160,63239,Montmorin,Puy-de-Dôme,Auvergne-Rhône-Alpes,45.693094,3.350087,,Non,,,,https://www.sisteronais-buech.fr,https://www.facebook.com/CCSisteronaisBuech/,"Lundi,mardi,jeudi,vendredi 9h-12h ; mercredi 9h-12h/14h-16h",,,,,,,,
L'ALIM,AVENTIC,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Association,,"Maison des énergies, avenue Aristide BRIAND 5150 ROSANS",,Avenue Aristide Briand,54230,54397,Neuves-Maisons,Meurthe-et-Moselle,Grand Est,48.611036,6.102007,,Non,,,,http://www.aventic.org,,Lundi et jeudi 9h30-12h30/14h-17h,"Mo, Th 09:30-12:30,14:00-17:00",,,,,,,
MSAP DU DEVOLUY,COMMUNAUTE DE COMMUNES BUECH-DEVOLUY,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Établissement public de coopération intercommunale (EPCI),,Le Pré - Saint Etienne en Devoluy 5250 LE DEVOLUY,,Serre du Segle (Saint-Étienne-en-Dévoluy),05250,05139,Dévoluy,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.695731,5.893379,,Non,,,,http://www.ccbuechdevoluy.fr/,,Lundi au vendredi 9h-12h/14h-18h; samedi 9h-12h,,,,,,,,
CENTRE SOCIAL ASSOCIATIF PLANETE CHAMPSAURVALGO - ANTENNE HAUT CHAMPSAUR,SPORT ET CULTURE EN CHAMPSAUR,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Association,,Pont fi fossé 5260 SAINT JEAN SAINT NICOLAS,,Pont du Fosse,05260,05145,Saint-Jean-Saint-Nicolas,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.666928,6.228189,,Non,,,,https://www.youtube.com/channel/UCOxanfEOFxW4nTwBXIjCZCw,https://www.facebook.com/Plan%C3%A8te-Champsaur-Valgo-166146733403274/,"Lundi 14h-18h; mardi 9h-12h; mercredi,jeudi 10h-12h/15h-18h; vendredi 8h30-12h00",,,,,,,,
MSAP DU LARAGNAIS,COMMUNAUTE DE COMMUNES SISTERONNAIS BUECH,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Établissement public de coopération intercommunale (EPCI),,8A place de l'église 5300 LARAGNE,,Place de l'Eglise,05300,05070,Laragne-Montéglin,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.313166,5.822078,,Non,,,,https://www.sisteronais-buech.fr,https://www.facebook.com/CCSisteronaisBuech/,"Lundi,mardi,jeudi,vendredi 9h-12h/12h30-16h30 ; mercredi 9h-12h",,,,,,,,
POINT MSAP VALLOUISE PELVOUX,COMMUNAUTE DE COMMUNES DU PAYS DES ECRINS,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Établissement public de coopération intercommunale (EPCI),,Saint Antoine 5340 VALLOUISE PELVOUX,,St Antoine (Pelvoux),05340,05101,Vallouise-Pelvoux,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.869059,6.487336,,Non,,,,http://www.cc-paysdesecrins.com/,,Lundi au vendredi 8h30-12h15,Mo-Fr 08:30-12:15,,,,,,,
MSAP VEYNES,COMMUNAUTE DE COMMUNES BUECH-DEVOLUY,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Établissement public de coopération intercommunale (EPCI),,42 rue Jean Jaures 5400 VEYNE,42,Rue Jean-jaurés,05400,05179,Veynes,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.535147,5.825922,,Non,,,,http://www.ccbuechdevoluy.fr/,,Lundi 14h-18h; mardi au jeudi 9h-12h/14h-18h; vendredi 14h-18h,,,,,,,,
MSAP DU QUEYRAS,COMMUNAUTE DE COMMUNES GUILLESTROIS QUEYRAS,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Collectivité locale ou territoriale,,"Maison du Queyras, place Jean Léa 5470 AIGUILLES",,,,,,,,,,,Non,,,,www.comcomgq.com,www.facebook.com/msapqueyras/,"Lundi, mercredi, jeudi,vendredi 9h30-12h00/14h-18h","Mo, We, Th,Fr 09:30-12:00,14:00-18:00",,,,,,,
CENTRE SOCIAL ASSOCIATIF PLANETE CHAMPSAURVALGO,SPORT ET CULTURE EN CHAMPSAUR,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Association,,"2 avenue  de Merly, quartier du Roure 5500 SAINT BONNET EN CHAMSAUR",2,Avenue de Merly,05500,05132,Saint-Bonnet-en-Champsaur,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.679337,6.081253,,Non,,,,https://www.youtube.com/channel/UCOxanfEOFxW4nTwBXIjCZCw,https://www.facebook.com/Plan%C3%A8te-Champsaur-Valgo-166146733403274/,"Lundi 14h-18h; mardi 9h-12h; mercredi,jeudi 10h-12h/15h-18h; vendredi 8h30-12h00",,,,,,,,
MSAP DU GUILLESTROIS,COMMUNAUTE DE COMMUNES GUILLESTROIS QUEYRAS,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Collectivité locale ou territoriale,,Passage des écoles 5600 GUILLESTRE,,Passage des Ecoles,93100,93048,Montreuil,Seine-Saint-Denis,Île-de-France,48.874173,2.45408,,Non,,,,www.comcomgq.com,www.facebook.com/msap.guillestrois/,Lundi au jeudi 9h-12h15/13h30-16h45,"Mo-Th 09:00-12:15,13:30-16:45",,,,,,,
MSAP DU SERROIS,COMMUNAUTE DE COMMUNES SISTERONNAIS BUECH,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Établissement public de coopération intercommunale (EPCI),,rue des jardins 5700 SERRES,,Rue des Jardins,05700,05166,Serres,Hautes-Alpes,Provence-Alpes-Côte d'Azur,44.428107,5.715216,,Non,,,,https://www.sisteronais-buech.fr,https://www.facebook.com/CCSisteronaisBuech/,Lundi au vendredi 9h-12h/14h-17h,"Mo-Fr 09:00-12:00,14:00-17:00",,,,,,,
BUREAU INFORMATION JEUNESSE,CAP JEUNNESSE CÔTE D'AZUR,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Association,,6 avenue Félix Faure  6000 NICE,6,Avenue Félix Faure,06000,06088,Nice,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,43.6986,7.274589,,Non,,,,http://www.cap-jeunesse.fr,http://www.facebook.com/capjeunesseca/,"Mardi, jeudi , vendredi 13h-17h; mercredi 9h00-12h00/13h-17h",,,,,,,,
CENTRE D'INNOVATION ET D'USAGES EN SANTE,CENTRE D'INNOVATION ET D'USAGES EN SANTE,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Association,,27 rue Professeur Delvalle 6000 NICE,27,Rue Professeur Delvalle,06000,06088,Nice,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,43.72312,7.284142,,Non,,,,http://www.ciusante.org,https://www.facebook.com/CIUSante/,Lundi au vendredi 9h-18h; week-ends et soirées sur demande,,,,,,,,
CENTIFO’LAB,TETRIS,,Tiers-lieu / Coworking / FabLab / Hackerspace,,Société coopérative d’intérêt collectif (SCIC),,17-21 Avenue CHIRIS  6130 GRASSE,21,Avenue Chiris,06130,06069,Grasse,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,43.657977,6.927455,,Non,,,,http://www.centifolab.org,https://www.facebook.com/Centifolab/,"Lundi,mardi 12h-18h; mercredi 9h-14h; jeudi 9h-18h; vendredi 14h-21h; samedi 9h-12h",,,,,,,,
