Libellé de l'espace numérique;Adresse;Commune;Code postal;Code Insee;Téléphone;Fax;E mail;Site web;Contact 1;Contact 2;Fonction contact 1;Porteur;Statut;Latitude;Longitude
Moulins Habitat;5-7 Impasse Dieudonné Costes- Maisons des Associations;MOULINS;3000;3190;04 70 48 16 53;;sreyne@moulinshabitat.fr;www.moulinshabitat.cyber-base.org;Sylvain REYNE;;Responsable Projet - Animateur;Moulins Habitat;GIP (Groupement d'Intérêt Public);46.5429276;3.337899
"AGEDI (Agence de GEstion et de Développement 
Informatique)";Mairie;BRAGEAC;15700;15024;04 71 69 00 24;;agedi.15@laposte.net;www.agedi.fr/;;;;;;45.204492;2.266315
Point Cybercantal de Salers;Rue du couvent;SALERS;15140;15219;04 71 40 72 33;;mairie.salers@wanadoo.fr;;Madame PAILHES;;;;;45.137871;2.494344
Point Information Jeunesse;Maison de Brunelles, 12 Avenue Charles de Gaulle;MONISTROL SUR LOIRE;43120;43137;04 71 75 47 07;04 71 75 93 68;pij1.acija@wanadoo.fr;;Angèle SIMONET;;Directrice;;Association;45.2921172;4.181798
Ecole Mercoeur;98 Rue du Var;CLERMONT-FERRAND;63000;63113;04 73 24 66 62;;msidiammi@ville-clermont-ferrand.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.810596190492;3.1188243627548
Médiathèque Jaude;9 Place Louis Aragon;CLERMONT-FERRAND;63000;63113;04 73 29 32 50;;msidiammi@ville-clermont-ferrand.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.774742808054;3.0840575695038
EPN (Espace Public Numérique) de Romagnat;Centre Social - 3, Rue des Fours à Chaux;ROMAGNAT;63540;63307;04 73 62 63 00;;epn.romagnat@gmail.com;http://www.epnromagnat.jimdo.com/;Paul Suteau;Christian Touraille;Conseiller délégué - Animateur;Ville de Romagnat;Collectivité;45.7272593;3.1011754
Centre Multimédia Intercommunal;1 Place du 8 mai;LE MONTET;3240;3183;04 70 47 37 76;04 70 47 37 09;comcom-bocagesud@wanadoo.fr;www.bocagesud.fr;Sylvain CLAIRE;;Animateur Multimédia;Communauté de communes Bocage Sud;Collectivité;46.4102572;3.0563591
Cyberc@ntal Allanche;Place du Cézallier;ALLANCHE;15160;15001;04 71 78 68 33;04 71 78 68 33;olivier@cezallier.org;www.cezallier.org;Olivier MAYET;;Assistant Informatique / Technicien Territorial;Communauté de Communes du Cézallier;EPIC (Etablissement Public à caractère Industriel et Commercial);45.230720941206;2.9344546794891
PIJ (Point Infos Jeunes);Rue du 139ème Régiment d'Infanterie;AURILLAC;15000;15014;04 71 46 86 20;04 71 46 86 37;pij@caba.fr;;Madame BRUELLE;;;;Collectivité;44.9246303;2.4430043
Espace multimédia;Route de Bagnac;MAURS;15600;15122;04 71 49 78 58;;espace.multimedia.maurs@wanadoo.fr;;Séverine PRAT;;;;;44.70642;2.195126
Point Cybercantal Ytrac;Ecole d'Ytrac 2 Impasse Jean de la Fontaine;YTRAC;15130;15267;04 71 47 72 52;;mairie-ytrac@wanadoo.fr;;Nicolas NENARIAC;;;;;44.914902;2.371031
EPN (Espace Public Numérique) Aulnat;Rue Curie;AULNAT;63510;63019;;;;;Marie ROQUES;;Animatrice;;;45.793679;3.164997
Ecole Jean Zay;71 Avenue du Limousin;CLERMONT-FERRAND;63000;63113;04 73 37 55 65;;ecole-elem.j-zay.clermont.63@ac-clermont.fr;www.ville-clermont-ferrand.fr;Sidi AMMI;;Coordinateur du projet internet pour tous;Ville de Clermont-Ferrand;Association (Délégation de service public);45.7893277;3.0624986
Salle Multimédia intercommunale;Route de Pionsat;ESPINASSE;63390;63152;04 73 85 84 51;;service.internet.espinasse@wanadoo.fr;;Julien BOULLEAU;;Animateur de la salle multimédia;Communauté de Communes Coeur de Combrailles;EPIC (Etablissement Public à caractère Industriel et Commercial);46.0382306;2.7112057
Médiathèque Intercommunale;Rue du Puits du Manoir;SAINT ELOY LES MINES;63700;63338;04 73 85 05 05;;mediatek63700@wanadoo.fr;;Jean-Luc GAULIN;;Bibliothécaire;Syndicat Intercommunal d'Equipement Saint-Eloy - Youx - Montaigut;Collectivité;46.167467800813;2.8428196907044
Centre Social Souvigny;Route de Montluçon;SOUVIGNY;3210;3275;04 70 43 64 69;;centre.social.souvigny@wanadoo.fr;;Camille MOLINETTI;;;;;46.531556;3.188726
Salle Multimédia Médiathèque de Chaudes Aigues;7 Rue Saint Jacques;CHAUDES AIGUES;15110;15045;04 71 23 55 85;;mediatheque.chaudes-aigues@wanadoo.fr;;David SAINT LEGER;;;;;44.852208;3.002978
